1765653292.856700806,2025-12-13 19:14:52,1458684
1765653293.868188288,2025-12-13 19:14:53,1458684
1765653294.879768108,2025-12-13 19:14:54,1458684
1765653295.892112830,2025-12-13 19:14:55,1458684
1765653296.904016032,2025-12-13 19:14:56,1458684
1765653297.915083446,2025-12-13 19:14:57,1458684
1765653298.924037940,2025-12-13 19:14:58,1458685
1765653299.935441279,2025-12-13 19:14:59,1458685
1765653300.947590319,2025-12-13 19:15:00,1458686
1765653301.959021735,2025-12-13 19:15:01,1458686
1765653302.970783998,2025-12-13 19:15:02,1458686
1765653303.982846226,2025-12-13 19:15:03,1458686
1765653304.992071994,2025-12-13 19:15:04,1458686
1765653306.002035392,2025-12-13 19:15:06,1458686
1765653307.012068050,2025-12-13 19:15:07,1458686
1765653308.023486941,2025-12-13 19:15:08,1458686
1765653309.035727956,2025-12-13 19:15:09,1458686
1765653310.046796622,2025-12-13 19:15:10,1458686
1765653311.056925158,2025-12-13 19:15:11,1458686
1765653312.068012898,2025-12-13 19:15:12,1458686
1765653313.079446771,2025-12-13 19:15:13,1458686
1765653314.091415238,2025-12-13 19:15:14,1458686
1765653315.104184794,2025-12-13 19:15:15,1458686
1765653316.114981809,2025-12-13 19:15:16,1458686
1765653317.125349916,2025-12-13 19:15:17,1458686
1765653318.135645136,2025-12-13 19:15:18,1458686
1765653319.146810540,2025-12-13 19:15:19,1458686
1765653320.158105123,2025-12-13 19:15:20,1458686
1765653321.169464644,2025-12-13 19:15:21,1458686
1765653322.180539145,2025-12-13 19:15:22,1458686
1765653323.191389986,2025-12-13 19:15:23,1458686
1765653324.203306265,2025-12-13 19:15:24,1458686
1765653325.214031577,2025-12-13 19:15:25,1458686
1765653326.225662575,2025-12-13 19:15:26,1458686
1765653327.237330945,2025-12-13 19:15:27,1458686
1765653328.247503132,2025-12-13 19:15:28,1458686
1765653329.259159932,2025-12-13 19:15:29,1458686
1765653330.269424575,2025-12-13 19:15:30,1458686
1765653331.279265158,2025-12-13 19:15:31,1458686
1765653332.289887029,2025-12-13 19:15:32,1458686
