1765623190.185624579,2025-12-13 10:53:10,28024913,0,0,0
1765623191.204173800,2025-12-13 10:53:11,28024922,0,0,0
1765623192.216835392,2025-12-13 10:53:12,28024931,0,0,0
1765623193.231197525,2025-12-13 10:53:13,28024939,0,0,0
1765623194.243366804,2025-12-13 10:53:14,28024947,0,0,0
1765623195.260289879,2025-12-13 10:53:15,28024955,0,0,0
1765623196.271915683,2025-12-13 10:53:16,28024964,0,0,0
1765623197.288168909,2025-12-13 10:53:17,28024972,0,0,0
1765623198.305400088,2025-12-13 10:53:18,28024980,0,0,0
1765623199.317519310,2025-12-13 10:53:19,28024989,0,0,0
1765623200.333966807,2025-12-13 10:53:20,28024997,0,0,0
1765623201.344906001,2025-12-13 10:53:21,28025006,0,0,0
1765623202.361543081,2025-12-13 10:53:22,28025014,0,0,0
1765623203.376221078,2025-12-13 10:53:23,28025022,0,0,0
1765623204.393194003,2025-12-13 10:53:24,28025030,0,0,0
1765623205.410864369,2025-12-13 10:53:25,28025038,0,0,0
1765623206.423509003,2025-12-13 10:53:26,28025047,0,0,0
1765623207.440044391,2025-12-13 10:53:27,28025055,0,0,0
1765623208.451752799,2025-12-13 10:53:28,28025062,0,0,0
1765623209.471080666,2025-12-13 10:53:29,28025070,0,0,0
1765623210.484668724,2025-12-13 10:53:30,28025078,0,0,0
1765623211.501573260,2025-12-13 10:53:31,28025086,0,0,0
1765623212.519112957,2025-12-13 10:53:32,28025094,0,0,0
1765623213.531990699,2025-12-13 10:53:33,28025102,0,0,0
1765623214.547603308,2025-12-13 10:53:34,28025110,0,0,0
1765623215.558545303,2025-12-13 10:53:35,28025118,0,0,0
1765623216.576007364,2025-12-13 10:53:36,28025126,0,0,0
1765623217.586748833,2025-12-13 10:53:37,28025134,0,0,0
1765623218.604444286,2025-12-13 10:53:38,28025142,0,0,0
1765623219.622343342,2025-12-13 10:53:39,28025150,0,0,0
1765623220.635192060,2025-12-13 10:53:40,28025158,0,0,0
1765623221.653201234,2025-12-13 10:53:41,28025166,0,0,0
1765623222.666051280,2025-12-13 10:53:42,28025174,0,0,0
1765623223.683203979,2025-12-13 10:53:43,28025182,0,0,0
1765623224.697842854,2025-12-13 10:53:44,28025190,0,0,0
1765623225.715581652,2025-12-13 10:53:45,28025198,0,0,0
1765623226.728985626,2025-12-13 10:53:46,28025206,0,0,0
1765623227.742689358,2025-12-13 10:53:47,28025214,0,0,0
1765623228.764944020,2025-12-13 10:53:48,28025223,0,0,0
1765623229.779262644,2025-12-13 10:53:49,28025231,0,0,0
1765623230.797454526,2025-12-13 10:53:50,28025239,0,0,0
